EET,Eng. Química,GPT,Finanças,Música,Bioquímica,Contabilidade,Enfermagem,Matemática,Gestao Pública,Fisioterapia,Eng. Aeroespacial,LRE,Economia,Eng. Mecânica,Eng. Biomédica,Eng. Física,Biologia e Geologia,Eng. Materiais,Biologia,Ciências do Mar,EGI B,EGI,Biotecnologia,ECT,Eng. Cívil,Eng. Mecânica B,AP,Design,MTC,Eng. Computacional,Gestão,Eng. Ambiente,Traduçao,Educaçao Básica,Eng. Informática
750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
865,750,867,635,854,750,854,857,750,857,865,643,750,871,857,870,643,629,870,750,750,862,863,630,637,873,643,630,638,862,646,635,646,627,638,633
788,712,943,635,788,892,780,931,717,716,789,676,863,909,874,947,723,726,888,792,866,881,880,596,620,757,784,613,596,749,710,555,627,609,541,633
744,735,958,744,815,865,809,947,799,700,680,764,873,965,881,955,708,810,882,753,872,761,924,657,686,669,702,547,586,665,686,548,666,555,518,625
762,806,993,789,822,899,838,970,776,671,723,847,886,861,846,912,663,739,799,719,892,865,931,609,606,741,630,529,661,590,734,628,653,504,511,618
793,820,997,745,752,896,843,983,806,641,776,880,889,888,890,815,760,809,818,692,899,870,878,602,575,728,611,634,659,576,701,624,655,499,506,513
802,874,1000,782,698,913,907,864,742,668,680,739,962,815,951,754,723,754,937,721,903,925,909,743,573,701,714,730,642,686,598,587,545,495,477,504
706,956,1015,767,756,918,778,875,793,708,776,783,964,836,1001,777,787,677,961,798,838,843,863,808,621,650,649,671,621,628,587,564,540,471,475,456
752,979,1045,793,756,926,878,924,805,778,741,806,968,843,953,722,792,670,861,775,843,800,871,759,596,768,671,700,648,620,551,556,533,469,448,451
814,975,943,845,848,965,857,926,780,785,749,811,867,804,964,824,728,771,787,775,781,859,844,693,630,747,633,690,655,660,539,527,533,462,448,443
821,981,954,791,904,966,853,980,851,850,744,870,779,827,965,732,733,781,722,718,750,803,898,717,722,656,621,679,649,637,630,520,523,457,447,442
795,983,980,826,914,984,865,1007,851,850,846,843,842,831,863,820,783,763,757,754,750,740,810,717,672,656,652,644,639,601,595,554,521,457,443,408
804,983,1062,898,914,902,865,1039,851,850,846,843,842,831,831,811,783,763,757,754,750,740,738,717,672,656,652,644,639,601,595,554,521,457,443,408
957,983,909,1039,914,902,865,898,851,850,846,843,842,831,831,811,783,763,757,754,750,740,738,717,672,656,652,644,639,601,595,554,521,457,443,408
1066,983,953,930,914,902,865,854,851,850,846,843,842,831,831,811,783,763,757,754,750,740,738,717,672,656,652,644,639,601,595,554,521,457,443,408
