EGI,EET,Eng. Informática,Biologia,Design,CBM,Eng. Biomédica,Fisioterapia,Eng. Cívil,Economia,DPT,Eng. Materiais,Eng. Química,GPT,Biotecnologia,ECT,Geologia,Eng. Física,Música,Psicologia,Eng. Ambiente,Biologia e Geologia,AP,Educaçao Básica,LRE,CBM B,Tradução,Gestao Comercial,Eng. Mecânica,Matemática,MTC,Gestao
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
893,1115,1107,1115,1115,1115,885,1115,885,885,885,667,885,615,393,393,607,607,393,385,500,393,615,607,393,615,385,615,607,385,607,385
972,1197,1125,1197,1033,978,867,1033,1022,967,803,700,806,633,522,375,680,625,469,464,500,532,504,478,375,633,367,476,492,306,534,309
1088,1105,1217,1081,1082,929,784,949,1038,1051,787,708,889,698,498,413,615,528,374,427,500,569,445,420,472,666,322,534,573,405,501,271
1110,1119,1237,1088,1125,907,777,970,995,1031,766,717,875,747,557,508,620,599,473,396,500,569,436,412,517,617,414,565,474,382,430,266
1152,1189,1250,1018,1131,945,739,957,953,900,760,724,1006,626,589,475,660,699,571,477,500,617,481,331,418,623,399,438,426,375,338,260
1214,1202,1251,1053,1069,932,852,1041,840,865,759,745,922,643,665,573,554,701,600,477,500,541,555,294,458,516,389,423,531,284,298,258
1216,1206,1257,1113,1083,976,838,981,836,821,757,751,916,648,679,655,605,619,558,460,500,522,582,378,474,465,380,417,432,263,293,241
1220,1235,1169,1201,1054,1037,834,920,776,881,854,758,819,690,694,665,662,562,571,453,500,458,473,470,457,436,398,392,384,372,337,197
1170,1285,1195,1204,1073,1011,897,944,752,862,791,756,816,702,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
1176,1288,1197,1207,1098,1027,894,919,750,856,788,756,800,701,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
1186,1289,1121,1111,1174,1123,941,909,820,809,787,756,730,701,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
1189,1290,1228,1196,1067,1038,941,909,820,809,787,756,730,701,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
1284,1341,1133,1145,1067,1038,941,909,820,809,787,756,730,701,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
1392,1233,1178,1100,1067,1038,941,909,820,809,787,756,730,701,694,682,671,589,571,501,500,477,473,470,445,409,398,392,384,372,324,179
