team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.08,0.00,0.00,0.00,1.06,2.38,3.50,0.86,25.38,2.99,639.8,88.5
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,2.31,0.79,27.30,2.56,354.1,93.4
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,3.04,0.46,26.14,2.10,298.7,76.3
Biotecnologia,62.67,16.21,6.85,1.43,1.11,2.61,17.35,1.70,9.63,4.22,981.9,104.7
Ciências Biomédicas,0.47,0.20,0.00,0.00,0.17,0.00,13.18,1.40,13.59,3.93,568.8,101.7
Contabilidade,3.62,0.53,0.28,0.05,5.11,18.19,9.86,1.32,18.43,3.65,793.0,93.1
Economia,53.25,15.72,7.01,2.00,0.68,3.64,17.75,1.85,10.22,4.07,972.8,120.3
Eng. Biomédica,0.16,0.00,0.00,0.00,0.36,2.12,2.83,0.89,25.79,2.90,589.9,82.9
Eng. Civil,40.42,9.68,0.91,0.11,39.48,0.00,20.89,0.50,6.41,2.35,854.8,76.1
Eng. Computacional,0.01,0.00,0.00,0.00,0.01,0.00,9.64,0.94,18.45,3.44,580.6,99.5
Eng. Computadores e Telemática,3.26,0.19,0.14,0.07,8.88,19.86,10.71,0.92,16.47,2.93,852.9,83.5
Eng. Eletrónica e Telecomunicações,4.82,0.60,0.40,0.10,16.91,14.74,8.99,1.46,18.72,4.13,832.4,96.8
Eng. Física,0.00,0.00,0.00,0.00,0.00,0.00,4.31,0.88,24.44,3.16,475.4,85.0
Eng. Informática,0.00,0.00,0.00,0.00,0.00,0.00,7.39,0.53,20.54,2.00,545.2,70.9
Eng. Mecânica,87.85,52.78,28.44,12.32,0.68,0.35,21.68,2.01,6.03,3.91,1131.4,131.0
Eng. Mecânica B,0.00,0.00,0.00,0.00,10.29,0.00,14.24,1.16,13.19,3.71,723.7,112.3
Eng. Química,9.32,1.56,0.05,0.01,6.36,0.00,17.71,0.75,9.64,2.64,670.6,87.0
Eng. de Materiais,73.70,3.76,0.22,0.02,47.28,0.00,18.23,0.56,8.49,2.54,814.3,65.7
Eng. e Gestão Industrial,99.65,92.52,60.23,42.98,0.00,0.00,27.39,0.99,1.97,1.52,1302.9,87.0
Finanças,88.76,48.08,26.10,8.61,0.42,0.53,21.09,1.63,6.31,3.64,1110.0,115.8
Fisioterapia,97.28,71.23,35.63,16.43,0.04,0.06,23.88,1.59,3.91,2.76,1173.7,122.4
Geologia,0.20,0.00,0.00,0.00,0.10,0.00,8.39,0.95,19.39,3.35,553.9,97.5
Gestão,49.79,9.26,0.91,0.09,47.60,0.00,20.61,0.70,6.49,2.57,842.9,88.1
Gestão e Planeamento em Turismo,98.60,77.15,32.80,15.78,0.04,0.08,25.57,1.50,3.24,2.40,1183.0,104.9
MTC,0.00,0.00,0.00,0.00,0.00,0.00,8.33,1.22,20.30,3.90,411.1,102.9
Marketing,0.00,0.00,0.00,0.00,0.00,0.00,5.09,1.08,23.45,3.57,340.4,104.2
Matemática,0.00,0.01,0.00,0.00,0.00,0.00,11.12,0.71,15.72,2.99,521.1,81.8
Música,0.00,0.00,0.00,0.00,0.00,0.00,4.38,0.96,24.21,3.10,322.8,88.1
Tecnologias de Informação,26.09,0.52,0.03,0.00,13.42,0.00,15.56,0.61,11.14,2.59,740.9,73.1
