Eng. Civil,Eng. Materias,Eng. Biomédica,Matemática,Bioquímica,Fisioterapia,EGI,Eng. Mecânica,Eng. Informática,Educaçao Básica,Psicologia,EET,Contabilidade,Economia
750,750,750,750,750,750,750,750,750,750,750,750,750,750
647,853,880,894,860,930,853,647,640,800,853,620,647,606
696,868,824,947,916,935,763,708,625,769,800,595,586,589
814,910,782,961,947,1023,789,694,576,736,817,741,581,546
864,943,664,873,801,912,803,737,620,701,958,691,555,532
888,853,721,880,891,916,766,858,563,677,837,666,548,528
946,878,721,917,833,963,843,811,646,677,760,583,605,471
994,945,883,810,940,801,795,744,646,677,760,583,605,471
1041,1035,836,810,850,801,795,744,646,677,760,583,605,471
1133,943,884,810,802,801,795,744,646,677,760,583,605,471
1133,943,884,810,802,801,795,744,720,711,686,609,571,445
